[2023-03-27 12:07:56,333]  - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2023-03-27 12:07:56,661]  - DEBUG - Creating converter from 7 to 5
[2023-03-27 12:07:56,661]  - DEBUG - Creating converter from 5 to 7
[2023-03-27 12:07:56,661]  - DEBUG - Creating converter from 7 to 5
[2023-03-27 12:07:56,661]  - DEBUG - Creating converter from 5 to 7
[2023-03-27 12:07:59,264]  - INFO - configuring all the dataIngestion path variable
[2023-03-27 12:07:59,264]  - INFO - arranging file path of all chrome history csv files in a list!
[2023-03-27 12:07:59,264]  - INFO - successfully configured
[2023-03-27 12:07:59,264]  - INFO - initiating DataIngestion
[2023-03-27 12:07:59,264]  - INFO - Merging all the csv files in one dataframe!
[2023-03-27 12:07:59,311]  - INFO - file size after merged :- (10399, 1)
[2023-03-27 12:07:59,342]  - INFO - initiated DataIngestion
[2023-03-27 12:07:59,342]  - INFO - initiating datavalidation class
[2023-03-27 12:07:59,389]  - INFO - writing Validationroport.yaml file
[2023-03-27 12:07:59,389]  - INFO - initiating the datacleaning instance methods!
[2023-03-27 12:07:59,405]  - INFO - dropping the duplicate history from history
[2023-03-27 12:07:59,420]  - INFO - successfully droped duplicacy, and now size :- (1328, 1)
[2023-03-27 12:07:59,420]  - INFO - remove less lenght and linc history !
[2023-03-27 12:07:59,436]  - INFO - successfully removed less length and linc, and now size :- (849, 1)
[2023-03-27 12:07:59,436]  - INFO - cleaning unnecessay words and lowerise the sentences
[2023-03-27 12:07:59,517]  - INFO - successfully cleaned the text!
[2023-03-27 12:07:59,517]  - INFO - concatenating entire titles as a single str!
[2023-03-27 12:07:59,523]  - INFO - successfully concated entire text!
[2023-03-27 12:07:59,524]  - INFO - removing unneccessary extra spaces.
[2023-03-27 12:07:59,528]  - INFO - preparing final text data!
[2023-03-27 12:07:59,530]  - INFO - successfully prepared the final text with length :- 35143
[2023-03-27 12:07:59,530]  - INFO - saving the cleaned text file
[2023-03-27 12:07:59,532]  - INFO - successfully saved the cleaned text file !
[2023-03-27 12:07:59,546]  - INFO - read text file from C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__120759\datacleaning\cleaned_file\cleaned_text_file.txt
[2023-03-27 12:08:01,836]  - INFO - text_data successfully lemmetized !
[2023-03-27 12:08:01,836]  - INFO - saving the lemmetized file at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__120759\DataTransformation\lemmetized\lemmetized.txt
[2023-03-27 12:08:01,836]  - INFO - saving the cleaned text file
[2023-03-27 12:08:01,836]  - INFO - successfully saved the cleaned text file !
[2023-03-27 12:08:01,836]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__120759\DataTransformation\lemmetized\lemmetizer.pkl
[2023-03-27 12:08:01,852]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__120759\DataTransformation\wordindex\word_index.pkl
[2023-03-27 12:08:01,852]  - INFO - word index successfully save at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__120759\DataTransformation\wordindex\word_index.pkl
[2023-03-27 12:08:01,852]  - INFO - no. of unique words :- 1825
[2023-03-27 12:08:01,867]  - INFO - tokenizer successfully fit and saved on this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__120759\DataTransformation\Tokenizer\tokenizer.pkl
[2023-03-27 12:08:01,867]  - INFO - saving the cleaned text file
[2023-03-27 12:08:01,867]  - INFO - successfully saved the cleaned text file !
[2023-03-27 12:08:01,867]  - INFO - sequence data textfile successfully saved at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__120759\DataTransformation\SequenceData\sequencedata.txt
[2023-03-27 12:08:01,867]  - INFO - saving transformed data !
[2023-03-27 12:08:01,867]  - INFO - successfully saved sequence numpy array !
[2023-03-27 12:08:01,883]  - INFO - successfully transformed the y_data !
[2023-03-27 12:08:01,883]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__120759\DataTransformation\Trained_data\x_train.pkl
[2023-03-27 12:08:01,992]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__120759\DataTransformation\Trained_data\y_train.pkl
[2023-03-27 12:08:01,992]  - INFO - succesfully saved your trained data at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__120759\DataTransformation\Trained_data
